Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2021-02-1,17.6,25.6,0.0,,,SW,46.0,13:25,19.2,57,,S,7,1014.7,24.4,38,,SSW,22,1013.9
2021-02-2,13.2,24.5,0.0,,,S,37.0,13:58,18.1,56,,SSE,11,1019.2,23.7,33,,S,20,1017.0
2021-02-3,13.0,28.6,0.0,,,W,26.0,13:02,18.6,52,,N,6,1014.3,26.1,31,,WSW,13,1009.2
2021-02-4,18.3,24.6,0.0,,,WNW,43.0,10:04,23.4,37,,NE,9,1000.5,19.1,73,,NNE,17,998.9
2021-02-5,12.8,19.4,15.6,,,NW,61.0,15:03,16.0,61,,N,24,999.1,18.5,73,,NNW,30,994.5
2021-02-6,15.1,20.4,8.6,,,W,52.0,23:51,17.1,92,,WSW,17,1004.6,19.6,74,,WSW,24,1007.4
2021-02-7,15.6,21.2,1.6,,,,,,17.2,70,,S,7,1015.0,20.5,52,,SW,6,1014.2
2021-02-8,13.0,25.7,,,,SSE,33.0,14:26,16.5,54,,ESE,9,1016.0,24.2,36,,SE,13,1014.1
2021-02-9,16.3,30.5,0.0,,,ENE,35.0,02:34,20.7,45,,NE,9,1013.7,29.1,25,,NE,9,1011.5
2021-02-10,15.7,35.0,0.0,,,E,24.0,21:40,23.4,37,, ,Calm,1010.9,34.3,13,,SW,11,1008.2
2021-02-11,21.0,35.4,0.0,,,NW,44.0,12:04,28.4,32,,N,2,1002.5,34.1,26,,WNW,19,1001.5
2021-02-12,16.0,22.6,0.0,,,SSW,35.0,12:28,18.0,64,,SW,7,1009.4,21.7,47,,WSW,19,1009.9
2021-02-13,14.5,23.5,0.0,,,SW,37.0,17:15,19.1,65,,S,9,1016.2,22.2,51,,SW,19,1016.3
2021-02-14,12.3,26.3,0.0,,,SE,31.0,16:10,18.1,59,,E,6,1019.3,25.5,35,,SSE,15,1017.2
2021-02-15,13.3,30.5,0.0,,,WSW,28.0,12:41,19.7,66,, ,Calm,1019.0,25.9,45,,WSW,17,1017.0
2021-02-16,17.6,34.8,0.0,,,SW,30.0,15:42,22.6,65,,NNW,6,1017.1,34.0,22,,WSW,17,1014.3
2021-02-17,22.4,37.9,0.0,,,S,30.0,17:45,29.5,27,,NE,13,1016.5,36.1,18,,WSW,19,1014.0
2021-02-18,26.9,36.9,0.0,,,N,39.0,09:59,30.0,26,,NNE,13,1016.1,35.8,17,,NE,15,1012.2
2021-02-19,26.6,36.7,0.0,,,NE,33.0,23:41,30.3,26,,NNE,13,1011.0,34.6,20,,W,15,1009.9
2021-02-20,18.6,30.6,0.0,,,S,31.0,17:04,22.1,55,, ,Calm,1013.0,28.6,45,,WSW,13,1010.6
2021-02-21,15.1,22.9,0.0,,,SW,46.0,15:15,18.6,59,,S,11,1014.1,21.5,49,,SW,24,1013.0
2021-02-22,16.1,23.9,0.0,,,SW,43.0,14:57,18.8,56,,SSW,15,1016.8,22.8,35,,SW,20,1016.7
2021-02-23,12.6,22.5,0.0,,,SE,35.0,16:02,16.2,54,,ESE,11,1022.4,21.1,29,,S,17,1020.8
2021-02-24,13.6,22.2,0.0,,,SE,35.0,03:00,15.9,44,,N,4,1021.0,19.9,40,,SW,20,1017.8
2021-02-25,10.7,21.5,0.0,,,WSW,39.0,14:53,16.8,57,,SSE,4,1016.7,20.8,47,,SW,19,1015.0
2021-02-26,14.1,23.9,0.0,,,SW,28.0,14:35,17.2,64,,ESE,13,1015.1,22.6,43,,WSW,13,1012.9
2021-02-27,11.9,25.9,0.0,,,SW,30.0,18:10,18.5,53,,NNE,4,1012.6,23.9,40,,WSW,19,1011.3
2021-02-28,13.2,25.7,0.0,,,W,30.0,14:17,19.4,64,, ,Calm,1012.6,24.1,46,,WSW,17,1011.8
2021-03-1,13.4,26.3,0.0,,,SSE,35.0,18:36,17.9,60,,NNW,7,1016.0,25.3,37,,SE,11,1014.8
2021-03-2,12.4,24.6,0.0,,,ESE,35.0,19:06,15.3,46,,ESE,11,1019.6,22.7,24,,ENE,11,1016.6
2021-03-3,13.7,25.8,0.0,,,E,30.0,02:25,16.9,42,,E,13,1020.0,24.8,27,,ESE,9,1018.5
2021-03-4,9.7,24.7,0.0,,,WSW,31.0,15:49,16.0,52,,NNW,6,1020.2,23.1,43,,WSW,15,1017.4
2021-03-5,11.6,27.6,0.0,,,SSE,35.0,16:20,17.3,65,,W,7,1016.9,24.2,53,,WSW,20,1014.1
2021-03-6,12.1,28.3,0.0,,,NW,26.0,11:42,17.4,46,,ESE,2,1013.6,25.1,33,,WSW,17,1011.0
2021-03-7,17.2,28.5,0.2,,,WSW,26.0,14:19,23.1,33,,NNE,4,1008.6,26.9,31,,WNW,11,1007.7
2021-03-8,16.5,26.4,0.0,,,S,31.0,16:37,18.5,63,,SE,13,1012.6,25.3,36,,SSE,11,1011.9
2021-03-9,11.9,26.6,0.0,,,SE,31.0,17:31,17.1,63,,NE,9,1018.3,24.5,42,,WSW,15,1016.9
2021-03-10,15.8,26.4,0.0,,,E,26.0,23:59,19.6,52,, ,Calm,1018.3,23.1,51,,WSW,11,1016.5
2021-03-11,14.5,26.7,2.8,,,WSW,26.0,14:52,19.0,73,, ,Calm,1017.4,25.8,41,,WSW,13,1015.5
2021-03-12,14.3,32.5,0.2,,,NW,30.0,14:54,19.8,54,, ,Calm,1014.9,31.4,25,,NW,17,1011.5
2021-03-13,17.9,20.8,1.6,,,SW,46.0,14:13,18.0,88,,SSW,19,1013.8,19.7,47,,SW,22,1016.9
2021-03-14,9.7,20.6,6.8,,,WSW,37.0,14:53,14.8,59,,SSE,6,1025.1,18.9,43,,WSW,20,1023.9
2021-03-15,9.4,21.7,,,,,,,15.6,70,,NNW,4,1026.7,19.9,62,,SSW,13,1025.0
2021-03-16,14.4,23.7,0.0,,,W,20.0,11:59,18.6,71,,W,6,1024.7,22.8,51,,W,11,1021.8
2021-03-17,13.7,27.3,0.0,,,SSW,31.0,16:17,19.3,66,,NW,4,1021.4,25.9,42,,WSW,19,1018.7
2021-03-18,18.2,30.7,0.0,,,ESE,35.0,11:01,22.8,52,, ,Calm,1021.8,30.1,26,,E,15,1020.3
2021-03-19,18.7,30.9,0.0,,,SE,39.0,19:11,24.5,42,,E,11,1023.6,29.1,30,,E,24,1020.3
2021-03-20,20.3,32.6,0.0,,,SE,39.0,12:45,25.3,43,,NE,7,1021.8,31.3,26,,ESE,15,1018.1
2021-03-21,21.0,30.4,0.0,,,ENE,31.0,04:06,24.6,42,,NE,17,1018.1,28.9,36,,SW,13,1015.3
