Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2021-02-1,22.5,29.7,1.4,,11.8,E,31.0,13:46,25.8,61.0,5,E,9,1013.7,28.5,50.0,3,E,15,1010.3
2021-02-2,21.4,25.7,19.8,,0.0,W,20.0,09:07,21.7,94.0,8,W,11,1009.3,23.1,88.0,8,NE,2,1007.6
2021-02-3,20.4,29.1,44.6,,8.6,ESE,33.0,12:14,25.5,65.0,7,ESE,13,1011.1,27.9,47.0,7,ESE,15,1009.9
2021-02-4,19.7,30.0,0.2,,12.3,E,24.0,14:38,26.9,58.0,2,SE,7,1012.6,28.8,51.0,1,E,13,1010.1
2021-02-5,21.0,29.7,0.2,,9.2,NE,24.0,13:40,26.6,63.0,5,ESE,7,1012.1,28.3,57.0,7,ENE,11,1009.0
2021-02-6,21.0,31.1,0.0,,12.0,ENE,20.0,13:40,26.6,62.0,3,SSE,4,1009.0,30.0,53.0,3,NE,9,1004.6
2021-02-7,23.0,35.2,0.0,,8.7,ENE,20.0,16:12,27.6,65.0,7,S,4,1006.1,31.5,53.0,7,ENE,11,1001.3
2021-02-8,23.5,29.6,0.6,,7.8,E,37.0,16:57,27.6,54.0,6,SE,17,1009.4,27.3,55.0,4,ESE,13,1008.0
2021-02-9,21.8,29.1,0.0,,11.0,SE,37.0,17:13,26.5,47.0,3,SE,9,1013.7,28.2,46.0,5,E,15,1010.6
2021-02-10,18.8,28.5,0.0,,8.9,E,35.0,18:07,25.2,51.0,6,S,9,1014.1,26.8,45.0,4,E,13,1010.7
