Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2021-02-1,20.7,28.9,0.8,0.4,6.8,NNE,44.0,17:26,22.1,86,7.0,S,7,1016.1,28.3,68,1,ESE,17,1012.3
2021-02-2,17.5,25.8,17.4,7.6,5.9,SSW,43.0,04:49,19.1,87,7.0,SW,17,1010.5,23.2,60,2,SE,24,1010.5
2021-02-3,17.5,25.8,5.0,7.8,9.3,S,31.0,09:10,19.4,72,1.0,SSW,15,1013.7,24.7,56,5,ESE,17,1012.6
2021-02-4,17.9,28.9,0.0,6.8,10.1,NE,48.0,13:58,21.5,88,6.0, ,Calm,1013.4,27.7,62,5,NE,30,1010.0
2021-02-5,20.8,28.3,0.0,8.4,11.2,NE,54.0,12:25,23.5,84,2.0,NE,17,1012.1,28.1,71,2,NE,33,1009.0
2021-02-6,21.4,24.6,0.0,9.0,1.1,NE,37.0,23:06,23.6,83,8.0,NE,11,1004.8,23.1,95,8,NE,13,1002.9
2021-02-7,19.4,28.8,1.4,3.4,11.2,SE,43.0,15:06,21.0,88,2.0,WNW,15,1006.4,27.3,60,5,ESE,22,1006.8
2021-02-8,20.1,24.2,0.2,8.6,3.6,SSE,37.0,08:18,20.9,79,6.0,SE,22,1014.0,22.9,64,7,S,20,1013.6
2021-02-9,19.1,25.8,0.0,5.4,6.5,SE,37.0,13:00,21.6,63,7.0,SE,17,1017.7,23.5,58,4,SSE,20,1016.7
2021-02-10,16.6,27.1,2.4,6.4,9.9,SSE,30.0,00:17,18.7,93,5.0,WNW,11,1017.7,26.7,55,4,ESE,15,1015.5
2021-02-11,17.8,27.9,0.2,9.2,11.9,NNE,46.0,19:36,20.4,76,1.0,NW,9,1015.3,27.6,54,1,ENE,28,1011.8
2021-02-12,18.9,33.2,0.0,11.0,4.6,NNE,50.0,23:37,21.2,71,8.0,ENE,7,1008.8,31.6,49,6,N,22,1005.0
2021-02-13,20.2,20.6,15.4,7.4,0.0,SSE,46.0,10:42,20.3,99,8.0,SSW,19,1007.6,20.2,93,8,SSE,26,1009.9
2021-02-14,16.8,25.3,14.4,2.0,11.1,SSE,48.0,13:14,19.0,92,3.0,SSW,19,1016.1,23.4,59,4,S,22,1015.8
2021-02-15,18.6,24.0,0.0,8.0,4.1,S,70.0,16:53,20.5,63,7.0,S,22,1018.9,23.0,62,6,SSW,37,1018.6
